indonesian,sundanese
bohong,wadul
bola,bal
boleh,kaci
boleh,kenging
boleh,meunang
bom,bom
bonus,bonus
bonus,tambahan
borgol,blenggu
borgol,borgol
bos,dunungan
bos,juragan
bos,pingpininan
botol,botol
buah,buah
buahnya,buahna
buang,piceun
buat,ngadamel
buat,ngajieun
buatan,jieunan
buaya,buhaya
bubuk,bubuk
bubur,bubur
budak,pagawã©
budaya,budaya
budayanya,budayana
buddha,buddha
budiman,budiman
bujang,lajang
bujangan,jajaka
bujangan,lalaki
buka,muka
bukan,hentéu
bukan,lain
bukan,sanes
bukannya,lainna
bukit,gugunungan
bukti,buktos
buktinya,buktina
buku,buku
bukunya,bukuna
bulan,bulan
bulan,sasih
bulat,buled
bulu,bulu
bulunya,buluna
bumbu,samara
bumbunya,samarana
bumi,dunya
bunda,ema
bunda,ibu
bunda,indung
bundar,bundar
bunga,kembang
bunganya,kembang eta
bungkus,bulen
bungkus,mulen
bungkus,mungkus
bungsu,bontot
buntu,buntu
bunuh,paehan
bunut,ekor
bunyi,sora
buruh,kuli
buruk,awon
buruk,goreng
buruk,jore
burung,manuk
bus,beus
busur,busur
busur,gandã©wa
cabai,cengek
cabe,cabã©
cacar,kuris
cacing,cacing
cadangan,sã©rep
cahaya,cahya
cahayanya,cahayana
cair,cair
cakar,kaut
calon,calon
cambuk,pecut
campur,campur
campuran,nyacampurkéun
canggih,canggih
cantik,geulis
cap,cap
cap,setã©mpel
cara,cara
caranya,carana
cari,milari
cari,teang
cat,cã©t
catatan,catetan
catatan,seratan
catur,catur
cawan,basi
cawan,mangkok
cek,cek
celaka,cilaka
celana,calana
celana,lancingan
cemburu,timburu
cepat,enggal
cepat,gancang
cepat,tereh
cepatlah,enggalkeun
cepatlah,geuwat
cepatlah,terehkeun
cepatnya,saenggalna
cepatnya,sagancangna
cerdas,calakan
ceria,marahmay
cerita,carios
cerita,carita
cerita,talatah
ceritakan,nyaritakeun
ceritanya,caritana
cermin,eunteung
cermin,kaca
cetak,citak
cetakan,citakan
cewek,awewe
cewek,istri
cewek,mojang
cicil,cicil
cincin,ali
cincin,cingcin
cincin,lã©lã©pã©n
cinta,asih
cinta,duriat
cinta,nyaah
cintanya,asihna
cipta,pancipta
ciptaan,jieunan
ciptaannya,ciptaanana
ciri,ciri
cirinya,cirina
cita,cita
cita,encit
ciuman,sun
coba,nyoba
coba,nyobian
cocok,cocog
cokelat,coklat
coklat,coklat
colok,nyolok
contoh,conto
contohnya,contona
cowok,jajaka
cowok,lalaki
cuaca,hawa
cuci,nyeuseuh
cukup,cekap
cukup,cukup
dada,harigu
daerah,wewengkon
daftar,daptar
daging,daging
dahulu,baheula
dahulu,bareto
dahulu,kapungkur
dahulunya,baheulana
dahulunya,baretona
dahulunya,kapungkurna
dalam,jero
dalamnya,di jero
dampak,pangaruh
dan,jeung
dan,sareng
dana,duit
dana,harta
danau,situ
danau,talaga
dansa,dangsa
dapat,kenging
dapat,meunang
dapatkan,meunangkeun
dapatkan,ngengingkeun
dapur,dapur
dapur,pawon
darah,getih
darahnya,getihna
darat,darat
daratan,daratan
dari,ti
darinya,ti manehna
daripada,batan
dasar,dasar
dasarnya,dasarna
data,data
datang,datang
datangnya,datangna
datar,cã©pã©r
daun,daun
daun,kalakay
daya,kakuatan
dayung,bosã©h
dayung,dayung
dayung,welã©h
debat,debat
debat,sawala
debu,kebul
dekade,dã©kadeu
dekat,deukeut
dekatnya,di deukeutna
dekorasi,papantas
delapan,dalapan
delta,delta
delta,muara
demam,muriang
demam,nyenyepan
demokrasi,emok
demokrat,demokrat
denah,denah
denda,dengda
dendam,dengdem
dengan,sareng 
denganmu,sareng anjeun
dengannya,sarengna
dengar,denge
dengarkan,dengekeun
denyut,denyut
depan,hareup
departemen,bagã©an
depresi,gélo
deputi,dã©puti
derajat,darajat
derek,dã©rã©k
dering,ngirining
dermawan,balabah
desa,lembur
deskripsi,dã©skripsi
detik,detik
dewa,sanghyang
dewan,wawakil
dewasa,sawawa
di,di
dia,anjeuna
dia,manã©hna
diabaikan,teu malire
diabetes,diabã©tes
diadakan,diayakeun
diadakannya,diayakeunana
diaduk,dikocek
diajak,diajak
diajari,diajarkeun
diakhiri,dipungkas
diaktifkan,dihidupkeun
dialami,ngalaman
dialaminya,diraoskeun
dialaminya,dirasakeun
dialog,paguneman
diam,calik
diam,cicing
diambil,dibantun
diambil,dicandak
diamlah,cicing atuh
diamlah,ngajedog
diancam,diancem
dianggap,dianggap
diangkat,diangkat
diangkut,dicandak
diangkut,ngunjalan
diartikan,diartikeun
diatas,dihandap
diatasi,ditungkulan
diatur,diatur
diawasi,diawaskéun
dibaca,dibaca
dibacakan,dibacakéun
dibagi,dibagi
dibagikan,dibagikéun
dibakar,dibeulem
dibantai,diwangun 
dibatalkan,dibatalkeun
diberi,dibã©rã©
diberi,dipasihan
diberikan,dibikeun
diberikan,dipasihkeun
dibersihkan,dibersihkeun
dibesarkan,digedekeun
dibiayai,dibayaran
dibicarakan,dicarioskeun
dibicarakan,diomongkeun
dibilang,dietang
dibolehkan,kaci
dibongkar,dioreg
dibongkar,dirakrak
dibuang,dipicéun
dibuat,dijieun
dibuatkan,dijieunkeun
dibunuh,dipaehan
dibunuh,dipodaran
diburu,diboro
dibutuhkan,diperyogikeun
dicampur,digalokeun
dicari,dipilari
dicari,diteang
dicatat,dicatet
diceritakan,diomongkeun
diciptakan,diciptakeun
dicuci,dikumbah
didahului,dipiheulaan
didalamnya,dijerona
didapat,meunang
didapati,dibeunangkeun
didapatkan,dibeunangkeun
didatangi,didatangan
didatangi,disumpingan
didengar,didenge
didengar,dikuping
didengarkan,didengekeun
didengarkan,dikupingkeun
didokumentasikan,didokuméntasikeun
diduduki,didiukkan
diet,diit
diganti,digentos
digantikan,digantikeun
digantikan,digentoskeun
digelar,dilaksanakeun
dihabiskan,dibã©akeun
dihabiskan,diseepkeun
dihabiskan,disã©ã©pkeun
dihancurkan,diancurekeun
dihapus,dipupus
dihapuskan,dileungitkeun
dihapuskan,dipiceun
diharapkan,diharepkeun
dihargai,dihargaan
diharuskan,ngedahkeun
diharuskan,ngudukeun
dihasilkan,dihasilkeun
dihasilkannya,dihasilkeunna
dihasut,dihasud
dihentikan,dieureunkeun
dihias,dipapaesan
dihiasi,dipapaesan
dihidangkan,disuguhkeun
dihidupkan,dihirupkeun
dihitung,dietang
dihitung,diitung
dihormati,dipihormat
dihubungkan,disambungkeun
dihuni,dicicingan
diikat,ditalian
diikuti,dituturkeun
diingat,diã©mut
diinginkan,dipikahayang
diinginkan,dipikahoyong
diinginkannya,dipikahayang
diinginkannya,dipikahoyong
diisi,diisian
diizinkan,diwidian
dijadikan,dijantenkeun
dijalankan,dijalankeun
dijanjikan,dijangjikeun
dijatuhi,dihukum
dijelaskan,dijelaskeun
dijodohkan,dijodokeun
dijual,diical
dijuluki,dilandih
dijumlahkan,ditambihkeun
dijumpai,ditepangan
dijumpai,ditepungan
dikabarkan,dibejakeun
dikabarkan,diwartoskeun
dikalahkan,diã©lã©hkeun
dikatakan,disebutkeun
dikelilingi,dikuriling
dikelola,dikalola
dikelola,dikokola
dikelompokkan,dijumplukeun
dikeluarkan,dikaluarkeun
dikeluarkannya,dikaluarkeunana
dikemas,dibungkus
dikembalikan,diuihkeun
dikenakan,diwanohkeun
dikenal,dipikawanoh
dikendalikan,dikawasa
dikeringkan,digaringkeun
dikerjakan,didamelkeun
dikerjakan,dipigawe
dikerjakannya,didamelkeunna
dikerjakannya,dipigawe
diketahui,dipikanyaho
diketahui,terang
diketuai,dipupuhuan
dikirim,dikintun
dikirimkan,dikintunkeun
dikirimkan,dikirimkeun
dikritik,dikaritik
dikuasai,dikawasana
dikukus,sepan
dikunjungi,didatangan
dikunjunginya,didatanganna
dikurangi,dikurangan
dikuras,dibedahkeun
dilagukan,dilagukeun
dilahirkan,ngajuru
dilaksanakan,dilaksanakeun
dilakukan,dilakonan
dilakukannya,dilakonan
dilalui,diliwatan
dilancarkan,digampilkeun
dilancarkan,dilancarkeun
dilanjutkan,diteruskeun
dilaporkan,dilaporkeun
dilarang,dicaram
dilayani,dilayanan
dilepaskan,dileupas
diletakkan,ditunda
dilewati,diliwatan
dilihat,ditempo
dilindungi,ditangtayungan
dilipat,dilipet
dimainkan,dipamainkeun
dimakamkan,diastanakeun
dimakan,didahar
dimanfaatkan,di mangpaatkeun
dimasukkan,diasupkeun
dimenangkan,dikengingkeun
dimiliki,dipiboga
dimiliki,dipikagaduh
diminta,disuhunkeun
diminum,dieueut
dimodifikasi,dimodifikasi
dimulai,dikawitan
dimulai,dimimitian
dimulainya,dimimitianana
dimungkinkan,jigana
dinaikkan,ditaekeun
dinamai,dinamian
dinamai,dingaranan
dinamakan,dinamian
dinas,dines
dinding,tã©mbok
dingin,tiis
dinikahi,dinikahkeun
dinikmati,dirasakeun
dinilai,dipéuntén
dinyanyikan,dihaleangkeun
diobati,diubaran
diolah,diolah
dipahami,ngarti
dipakai,dipake
dipakainya,dipakena
dipaksa,kapaksa
dipanaskan,dihanetkeun
dipandang,ditempo
dipanen,dipanén
dipanggang,dibeulem
dipanggil,digeroan
dipangku,dipangku
dipantau,ditingalikeun
diparut,diparud
dipasang,dipasang
dipastikan,dipastikeun
dipecah,dibeulah
dipecat,dipegatkeun
dipegang,dicekel
dipegangnya,dicengpengna
dipelajari,diulik
dipelihara,diurus
dipenuhi,dipinuhan
diperbanyak,dilobaan
diperbanyak,diseueuran
dipercaya,dipercanten
dipercayai,dipercantenkeun
diperdebatkan,diparmasalahkeun
diperdengarkan,didengekeun
dipergunakan,dipaké
diperhatikan,nengetan
diperiksa,dipariksa
diperiksa,diparios
diperingati,diingetan
diperintah,dititah
diperintahkan,dipiwarang
diperjelas,diantebkeun
diperkenalkan,dikenalkeun
diperkirakan,diperkirakeun
diperkuat,dikuatkeun
diperkuat,diperkuatk
diperlihatkan,ditingalikeun
diperluas,dilegaan
diperlukan,diperlukeun
diperlukan,diperyogikeun
diperoleh,dikã©ngingkeun
diperoleh,dimeunangkeun
dipertemukan,diamprokeun
dipertemukan,ditepangkeun
dipertimbangkan,dipertimbangkeun
dipimpin,dipingpin
dipindahkan,dialihkeun
dipinjam,diinjeum
dipinjamkan,diinjeumkeun
dipisah,dipisah
dipisahkan,dipisahkeun
diproses,diprosés
dipukul,ditakol
dipunyai,dipiboga
diraih,dihontal
diraihnya,dihontalna
dirasakan,dirasakeun
dirayakan,dirayakeun
direbus,dikulub
direbut,diparebutkeun
direktur,pupuhu
direndam,dikeuem
direnovasi,disaean
diri,diri
diri,salira
dirikan,ngadegkeun
dirinya,dirina
disahkan,disahkeun
disalin,dicutat
disamakan,disamikeun
disampaikan,dipangnepikeun
disamping,digigir
disana,diditu
disapa,ditaros
disarankan,dibongbolongan
disebut,disebat
disebutkan,disebatkeun
disediakan,disadiakeun
diseduh,ditinyuh
disegani,dipikasieun
diselamatkan,disalametkeun
diselenggarakan,diayakeun
diselesaikan,dibereskeun
diselesaikan,direngsekeun
diserahkan,diserahkeun
disimpan,disimpen
disimpan,ditenddeun
disimpan,diteundeun
disinggahi,didatangan
disingkirkan,disingkahkeun
disini,didieu
disiplin,disiplin
diskusi,obrolan
diskusi,sawala
disuapi,dihuapan
disukai,dipikaresep
disuruh,dipiwarang
disuruh,dititah
disusul,disusul
disusun,disusun
ditakuti,dipikasieun
ditambah,ditambih
ditambahkan,ditambahkeun
ditampilkan,dipintonkeun
ditanam,dipelak
ditanami,dipelak
ditanamkan,dipelakeun
ditandai,dicirian
ditandatangani,ciri
ditandatangani,tawis
ditanya,ditanya
ditanya,ditaros
ditarik,didudut
ditarikan,didudutan
ditawari,ditawisan
ditebang,dituar
ditekan,ditenet
ditekankan,ditenetkeun
ditempati,ditempatan
ditempatkan,ditempatkeun
ditemui,dipanggihan
ditemui,dipendakan
ditemui,ditepungan
diterima,ditampi
diterima,ditarima
diteruskan,diteraskeun
ditinggalkan,dikantunkeun
ditinggalkan,ditinggakeun
ditinggikan,ditaekeun
ditolak,ditampik
ditolong,ditulungan
dituangkan,dicicikeun
ditukar,digentos
ditulis,diserat
ditulis,ditulis
dituliskan,diseratkeun
dituliskan,dituliskeun
ditulisnya,diseratna
ditulisnya,ditulisna
diturunkan,diturunkeun
ditusuk,ditojos
ditutup,ditutupan
diubah,dirobah
diuji,diuji
diumumkan,dibewarakeun
diundang,diondang
diusahakan,ditarekahan
diutus,diutus
diwakili,diwakilkeun
diwan,diwan
diwariskan,diwariskeun
diwarnai,diwarnaan
diwujudkan,dibuktikeun
diyakini,diyakinkeun
dll,jeung sajabina
dna,dna
doa,du'a
dokter,dokter
dokter,mantri
doktor,doktor
dokumen,berkas
dokumentasi,dokuméntasi
dokumenter,dokumenter
dolar,dolar
domba,embã©
domba,gibas
donat,donat
dongeng,carita
donor,mikeun
dorongan,di-surung
dorongan,surung
dosa,kalepatan
dosis,dosis
dosis,takaran
drama,carita sandiwara
drum,dreum
dua,dua
duanya,duana
duapuluh,duapuluh
duduk,calik
duduk,diuk
duduk,linggih
dugaan,kintenan
dugaan,sangkaan
dukun,'jelema pinter'
dukun,tukang ngajampe
dukung,dukung
dukungan,pangrojong
dulu,baheula
dulu,barã©to
duluan,tipayun
dulunya,baheulana
dulunya,baretona
dunia,dunya
durhaka,doraka
duri,cucuk
durian,kadu
duta,jelema perwakilan 
duyung,duyung
edisi,edisi
edisi,terbitan
efek,efek
egois,egois
ekor,buntut
ekor,kumpay
ekspedisi,lalampahan
ekspedisi,perjalanan
elang,heulang
emas,emas
ember,ã©mbã©r
emisi,émisi
empedu,empedu
empuk,hipu
enak,ngeunah
enam,genep
endapan,sédimén
endemik,endemik
endemis,endemis
energi,tanaga
ensiklopedia,énsiklopédia
entah,duka
entah,hénteu nyaho
entah,téuing
entahlah,duka atuh
episode,episode
erosi,erosi
erupsi,bitu
es,ã©s
esai,karangan
estetik,kaendahan
estetika,estetika
etika,tatakrama
fakta,kanyataan
faktor,faktor
fakultas,fakultas
fantasi,khayalan 
fase,babak
fasilitas,pasilitas
fatal,parah
favorit,nu di pikaresep
favorit,resep
federasi,organisasi
fiksi,bohong
fiksi,wadul
filem,pã©lem
film,pilem
firman,ucapan
fisika,fisika
fokus,junun
fokus,soson-soson
formasi,susunan
formula,rumus
formulir,formulir
foto,poto
fungsi,gunana
fungsi,kagunaan
fungsi,pungsi
gabungan,di-hiji-keun
gadai,gadã©
gading,gading
gading,sihung gajah
gadis,mojang
gagak,manuk gagak
gagal,burung
gagal,gagal
gagang,gagang
gagang,panyekelan
gagasan,ideu
gaib,gaib
gairah,kahayang
gairah,napsu
gajah,gajah
gaji,gaji
gaji,gajih
gaji,upah nu dibayarkeun
gak,henteu
gak,teu
galur,alur
galur,galur
galur,tapak
gambar,gambar
gambarnya,gambarna
gamelan,gamelan
games,kaulinan
gampang,babari
gampang,gampang
gampang,gampil
ganas,galak
gandum,gandum
gang,jalan leutik
gangga,gangga
gangguan,halangan
ganja,ganja
ganti,gentos
gantung,gantung
gantungan,gantungan
garam,uyah
garasi,garasi
garis,gurat
garpu,garpuh
garut,garut
gas,gas
gatal,ateul
gaun,acuk
gaya,gaya
gedung,bale
gelanggang,pakalangan
gelanggang,tempat
gelap,poék
gelas,gelas
gelembung,budah
gelombang,galura
gelombang,lambak
gempa,lindu
gempa,lini
gemuk,lintuh
generasi,generasi
generasi,seuweu-siwi
generasi,siwi
generasi,turunan
generator,generator
generator,jã©nsã©t
geng,gã©ng
geng,paguyuban
gerak,embut
gerak,galideur
gerak,oyag
gerak,usik
gerakan,gerakan
gerbang,gerbang
gerbang,lawang
gerbang,panto
gerbang,saketeng
gerbong,gerbong
gergaji,gobang
gergaji,ragaji
gerhana,peteng
germo,alku
germo,germo
gerobak,antol
gerobak,gorobag
gerobak,roda
getah,geutah
getaran,geteran
gigi,huntu
gigi,waos
gigitan,gégél
gila,gã©lo
giliran,giliran
giliran,piligenti
godaan,dodoja
godaan,doja
godaan,rongrong
gol,gul
golf,golep
golf,golp
golok,bedok
golongan,kalangan
goreng,ngagoreng
goresan,barã©d
goresan,gorã©tan
goresan,guratan
goresan,raca
got,kamalir
got,solokan
got,susukan
got,sã©lokan
grafik,grapik
gram,gram
granit,granit
gravitasi,gravitasi
grup,grup
grup,paguyuban
gua,guha
gubernur,gubernur
gudang,gudang
gugatan,gugatan
gugatan,purwadaksi
gula,aamis
gula,gula
gulat,galungan
gulat,gelut
gulungan,erol
gulungan,hambalang
guna,"nganggo, nganggã©"
guna,ngarah
guna,pakã©
guna,pikeun
guna,supados
gunakan,make
gunakan,nanggo
gunanya,makena
gunting,gunting
guntur,guludug
gunung,gunung
guru,guru
gurunya,guruna
habis,beak
habis,séép
hadiah,hadiah
hadiah,kado
hadir,ngahadiran 
hadir,nungkulan
hadir,sumping
hadirin,balarã©a
hadirin,hadirin
hadis,hadis
hak,hak
hakim,hakim
haknya,pamilikna
halaman,kaca
halamannya,halamanna
halangan,hahalang
halangan,harungan
halangan,wagel
halus,lemes
hama,hama
hamba,abdi
hamba,kuring
hamba,sewaka
hambatan,halangan
hambatan,harungan
hambatan,wagelan
hamil,reuneuh
hampir,ampir
hancur,ancur
hancurnya,ancurna
hangat,haneut
hantu,jurig
haram,haram
harap,harep
harapan,harepan
harga,harga
harga,hargi
harga,pangaos
harganya,hargana
hari,dinten
hari,poe
harimau,maung
harinya,poéna
harta,banda
harta,barana
harta,pakaya
harum,seungit
harus,kedah
harus,kudu
haruskah,kedah
haruskah,kudu
harusnya,kedahna
harusnya,kuduna
hasilnya,hasilna
hasrat,kahayang
hasrat,kahoyong
hasrat,kapalay
hasrat,napsu
hati,hate
hati,manah
hatinya,haténa
helikopter,hã©likopter
hendak,erek
hendak,eudeuk
hendak,rék
hentikan,eureunkeun
hewan,sato
hiasan,aguk
hiasan,gadik
hiasan,pataka
hiasan,pã©lã©t
hiburan,raramean
hidung,irung
hidung,pangambeu
hidung,pangambung
hidup,hirup
hijau,hejo
hilang,lesot
hilang,leungit
hitam,hideung
hitungan,itungan
hiu,hiu
hobi,kabeuki
hobi,karesep
hobi,langen
hormat,patuh
hotel,hotel
hubungan,pancakaki
hujan,hujan
hujan,silantang
hukum,hukum
hukuman,hukuman
hulu,wahangan
hulu,walungan
humor,banyol
humor,ocon
huruf,aksara
huruf,cacarakan
huruf,hurup
huruf,pegon
huruf,wianjana
hutan,leuweung
hutang,sambetan
iblis,iblis
iblis,setan
ibu,pun biang
ibumu,indung maneh
ibunya,indungna
ide,alpukah
ide,ideu
identitas,idã©ntitas
idiot,idiot
ijin,ijin
ikan,lauk
ikatan,beungkeutan
ikatan,sabebedan
iklan,pariwara
iklan,rã©klameu
iklim,hawa
iklim,iklim
iklim,usum
ikut,ngiring
ikuti,ngiringkeun
ilegal,henteu sah
ilegal,ilã©gal
ilegal,teu sah
ilmu,ã©lmu
ilmuwan,ã©lmuwan
ilusi,ilusi
imajinasi,imajinasi
imbalan,buburuh
imbalan,buruh
imbalan,honor
imbalan,pamales jasa
imigran,imigran
imigran,pendatang
imigrasi,imigrasi
impian,impi
impian,impian
impian,riwan
indah,endah
individu,nyalira
individu,sorangan
industri,industri
informan,inporman
informan,pawarta
informan,pawartos
informasi,warta
informasi,wawaran
ingatan,ingetan
ingatan,kaã©mutan
ingatan,ã©mutan
ingin,hayang
inginkan,hayang
ini,ieu
inilah,ieu lah
inisial,ciri
inisial,inisial
inisial,ngaran singket
insan,insani
insan,jalma
insan,jelema
insan,manusa
insiden,insiden
insiden,insidã©n
insiden,kajadian
inspektur,inspã©ktur
inspektur,mandor
inspektur,pamariksa
inspektur,pangawas
inspirasi,alpukah
inspirasi,ilham
inspirasi,inspirasi
instruksi,parã©ntah
instruksi,pituduh
instrumen,alat
instrumen,instrumã©n
instrumen,karawitan
instrumen,pakakas
internal, ti jero
internal,internal
internet,internet
inti,inti
inti,poko
inti,utama
inti,utami
invasi,invasi
investigasi,mariksa
investigasi,nalungtik
investigasi,pamariksaan
investigasi,talungtik
investor,invã©stor
investor,pamodal
ironis,hanjelu
ironis,ironis
ironis,karunya
ironis,kingkin
isi,eusi
isinya,eusina
islam,islam
isolasi,isolasi
isolasi,nutup
isolasi,papisah
istana,karaton
istimewa,sae pisan
istirahat,istirahat
istirahat,minge
istri,pamajikan
istri,pun bojo
istrinya,pamajikanna
isu,bã©ja
isu,cenah
isu,gosip
isu,harã©wos
isu,ihwal
isyarat,isarat
isyarat,rindat
isyarat,tanda
isyarat,totondã©n
itu,eta
itu,itu
izin,widi
jabatan,jabatan
jabatan,kalungguhan
jadinya,jadina
jadinya,jantena
jadwal,agã©nda
jadwal,jadwal
jago,bisaan
jago,hã©bat
jago,jago
jago,jawara
jahe,jahé
jajanan,daharéun
jaket,jã©kã©t
jaksa,jaksa
jalan,jalan
jalan,mapah(jalan kaki)
jalanan,jalanan
jalani,ngajalnkeun
jalannya,jalana
jalur,jalur
jam,jam
jam,tabuh
jam,waktos
jaminan,jaminan
jaminan,tandon
janda,randa
jangan,teu kenging
jangan,ulah
jantung,hate
jantung,jajantung
jarak,anggang
jarak,jarak
jarang,jarang
jari,ramo
jaring,jaring
jaring,sair
jaringan,jaringan
jaringan,raramat
jarum,jarum
jasa,guna
jasa,jasa
jasa,mangpaat
jasad,awak
jasad,badan
jasad,mayit
jasad,raga
jasad,raraga
jasadnya,maitna
jatah,bagã©an
jatah,porsi
jati,jati
jatuh,geubis
jatuh,labuh
jatuhkan,labuhkéun
jatuhnya,labuhna
jauh,tebih
jawab,ngajawab
jawab,ngawaler
jawaban,waleran
jebakan,jebakan
jebakan,pamikat
jebakan,pitapak
jejak,tapak
jelaskan,jelaskéun
jelek,awon
jelek,goreng
jembatan,jambatan
jemur,moe
jendela,jandela
jenderal,jenderal
jendral,jendral
jendral,jã©ndral
jenis,rupi
jenius,binã©kas
jenius,jenius
jenius,pinter pisan
jerami,jarami
jerami,jukut garing
jernih,beresih
jernih,hã©rang
jernihnya, herangna
jet,jã¨t
jika,lamun
jika,manawi
jimat,jimat
jimat,rajah
jin,jin
jiwa,jiwa
juara,jawara
juara,kampiun
judi,judi
judul,judul
judulnya,judulna
juga,oge
jujur,jujur
julukan,jujuluk
julukan,landian
julukan,landihan
julukan,sebutan
jumlah,jumlah
jumlahnya,jumlahna
jumpa,panggih
jumpa,pendak
juni,juni
jurang,jungkrang
jurang,jurang
juri,juri
jurnal,jurnal
jurnalis,wartawan
jurusan,jurusan
jus,jus
kabar,bã©ja
kabar,larap
kabar,larapan
kabar,wartos
kabarnya,béjana
kabel,kabel
kabur,rumeuk
kaca,eunteung
kaca,kaca
kacamata,tasma
kacang,kacang
kacang,suuk
kadal,kadal
kadar,kadar
kadar,titis-tulis
kafe,kafe
kain,kaen
kain,lawon
kain,sinjang
kaisar,kaisar
kaisar,raja
kakak,aa
kakak,aceuk
kakak,lanceuk
kakak,raka
kakak,tã©tã©h
kakaknya,lancéukna
kakek,aki
kakeknya,akina
kaki,cokor
kaki,dampal
kaki,sampean
kaki,suku
kakinya,sampeanna
kakinya,sukuna
kaku,reged
kala,wanci
kalah,kawon
kalah,éléh
kalender,penanggalan
kali,walungan
kalimat,kalimah
kalimat,ungkara
kalkun,kalkun
kalung,kongkorong
kamar,kamar
kamar,kobong
kamar,pangkeng
kambing,embã©
kamera,kamera
kamis,kemis
kampung,lembur
kampungnya,lemburna
kampus,kampus
kamu,anjeun
kamu,maneh
kamu,salira
kanan,katuhu
kancing,kancing
kandang,kandang
kandang,paranje
kandidat,calon
kandung,kaeusi
kandung,kandung
kandungan,kandungan
kandungan,rahim
kanker,kanker
kantin,kantin
kantong,kantong
kantong,pesak
kantor,kantor
kantor,loji
kantung,kantong
kapak,baliung
kapak,kampak
kapal,kapal
kapalnya,kapalna
kapan,iraha
kapas,boeh
kapas,kapas
kapsul,kapsul
kapten,kapten
kapur,apu
kapur,kapur
karakter,sipat
karang,karang
karantina,karantina
karate,karate
karbon,karbon
karena,lantaran
karenanya,lantaran éta
karet,karet
kargo,kargo
kargo,momotan
karier,karir
kariernya,karirna
karir,karir
karnaval,karnapal
kartu,kartu
kartun,kartun
karung,kadut
karung,karung
karunia,kurnia
karya,karya
karyanya,ciptaana
karyawan,pagawe
kas,kas
